,VM Name,vCPUs,Memory (GiB),Linux Price,Windows Price
,Standard_FX48mds,48,1008,4.4640,6.6720
,Standard_NV36adms_A10_v5,36,880,4.5200,6.1760
,Standard_DC96as_v5,96,384,4.5410,8.9570
,Standard_NV24,24,224,4.5600,5.7610
,Standard_NV48s_v3,48,448,4.5600,6.7680
,Standard_D96_v5,96,384,4.6080,9.0240
,Standard_D96a_v4,96,384,4.6080,9.0240
,Standard_D96as_v4,96,384,4.6080,9.0240
,Standard_D96s_v5,96,384,4.6080,9.0240
,Standard_E64-16ds_v4,16,504,4.6080,7.5520
,Standard_E64-16ds_v5,16,512,4.6080,7.5520
,Standard_E64-32ds_v4,32,504,4.6080,7.5520
,Standard_E64-32ds_v5,32,512,4.6080,7.5520
,Standard_E64d_v4,64,504,4.6080,7.5520
,Standard_E64d_v5,64,512,4.6080,7.5520
,Standard_E64ds_v5,64,512,4.6080,7.5520
,Standard_EC64ads_v5,64,512,4.6110,7.5550
,Standard_D96ads_v5,96,384,4.9440,9.3600
,Standard_L64as_v3,64,512,4.9920,7.9360
,Standard_L64s_v2,64,512,4.9920,7.9360
,Standard_E80is_v4,80,504,5.0400,8.7200
,Standard_E64bds_v5,64,512,5.3440,8.2880
,Standard_M64ls,64,512,5.4150,8.3590
,Standard_D96d_v5,96,384,5.4240,9.8400
,Standard_D96ds_v5,96,384,5.4240,9.8400
,Standard_DC48ds_v3,48,384,5.4240,7.6320
,Standard_E96-24as_v5,24,672,5.4240,9.8400
,Standard_E96-48as_v5,48,672,5.4240,9.8400
,Standard_E96as_v5,96,672,5.4240,9.8400
,Standard_DC96ads_v5,96,384,5.4380,9.8540
,Standard_L64s_v3,64,512,5.5680,8.5120
,Standard_E80ids_v4,80,504,5.7600,9.4400
,Standard_EC96as_v5,96,672,5.9660,10.3820
,Standard_M32ms_v2,32,875,6.0410,7.5130
,Standard_E96_v5,96,672,6.0480,10.4640
,Standard_E96-24as_v4,24,672,6.0480,10.4640
,Standard_E96-24s_v5,24,672,6.0480,10.4640
,Standard_E96-48as_v4,48,672,6.0480,10.4640
,Standard_E96-48s_v5,48,672,6.0480,10.4640
,Standard_E96a_v4,96,672,6.0480,10.4640
,Standard_E96as_v4,96,672,6.0480,10.4640
,Standard_E96s_v5,96,672,6.0480,10.4640
,Standard_NC12s_v3,12,224,6.1200,6.6720
,Standard_M32-16ms,16,875,6.1460,8.4276
,Standard_M32-8ms,8,875,6.1460,8.4276
,Standard_M32dms_v2,32,875,6.1460,7.6180
,Standard_M32ms,32,875,6.1460,8.4276
,Standard_L80as_v3,80,640,6.2400,9.9200
,Standard_L80s_v2,80,640,6.2400,9.9200
,Standard_E96-24ads_v5,24,672,6.2880,10.7040
,Standard_E96-48ads_v5,48,672,6.2880,10.7040
,Standard_E96ads_v5,96,672,6.2880,10.7040
,Standard_M64s_v2,64,1024,6.4590,9.4030
,Standard_NV72ads_A10_v5,72,880,6.5200,9.8320
,Standard_EC96ias_v5,96,672,6.5630,10.9790
,Standard_NP40s,40,672,6.6000,8.4400
,Standard_M64,64,1000,6.6690,9.6130
,Standard_M64ds_v2,64,1024,6.6690,9.6130
,Standard_M64s,64,1024,6.6690,9.6130
,Standard_E96-24ds_v5,24,672,6.9120,11.3280
,Standard_E96-48ds_v5,48,672,6.9120,11.3280
,Standard_E96d_v5,96,672,6.9120,11.3280
,Standard_E96ds_v5,96,672,6.9120,11.3280
,Standard_L80s_v3,80,640,6.9600,10.6400
,Standard_E112ias_v5,112,672,6.9610,12.1130
,Standard_E104i_v5,104,672,7.2070,11.9910
,Standard_E104is_v5,104,672,7.2070,11.9910
,Standard_NC48ads_A100_v4,48,440,7.3460,9.5540
,Standard_EC96iads_v5,96,672,7.6080,12.0240
,Standard_E112iads_v5,112,672,8.0700,13.2220
,Standard_NC24s_v2,24,448,8.2800,9.9720
,Standard_ND24s,24,448,8.2800,9.9720
,Standard_NC24rs_v2,24,448,9.1080,10.9710
,Standard_ND24rs,24,448,9.1080,10.9710
,Standard_M64ms_v2,64,1792,10.1300,13.0730
,Standard_M64-16ms,16,1750,10.3370,14.6410
,Standard_M64-32ms,32,1750,10.3370,14.6410
,Standard_M64m,64,1750,10.3370,14.6410
,Standard_M64ms,64,1750,10.3370,14.6410
,Standard_M64dms_v2,64,1792,10.3400,13.2840
,Standard_NC24s_v3,24,448,12.2400,13.3440
,Standard_M128s_v2,128,2048,12.9190,18.8070
,Standard_M128,128,2000,13.3380,19.2260
,Standard_M128s,128,2000,13.3380,19.2260
,Standard_M128ds_v2,128,2048,13.3400,19.2280
,Standard_NC24rs_v3,24,448,13.4600,14.5600
,Standard_M192is_v2,192,2048,15.6110,24.4440
,Standard_M192ids_v2,192,2048,16.0320,24.8640
,Standard_ND40rs_v2,40,672,22.0320,23.8720
,Standard_M208s_v2,208,2850,22.3100,31.8780
,Standard_M128ms_v2,128,3892,26.2690,32.1570
,Standard_M128-32ms,32,3800,26.6880,35.8140
,Standard_M128-64ms,64,3800,26.6880,35.8140
,Standard_M128m,128,3800,26.6880,35.8140
,Standard_M128ms,128,3800,26.6880,35.8140
,Standard_M128dms_v2,128,3892,26.6900,32.5780
,Standard_ND96asr_v4,96,900,27.1970,31.6130
,Standard_M192ims_v2,192,4096,31.6430,40.4760
,Standard_M192idms_v2,192,4096,32.0640,40.8960
,Standard_ND96amsr_A100_v4,96,1924,32.7700,37.1860
,Standard_M208ms_v2,208,5700,44.6200,54.1880
,Standard_M416-208s_v2,208,5700,49.5800,68.7160
,Standard_M416s_v2,416,5700,49.5800,68.7160
,Standard_M416-208ms_v2,208,11400,99.1500,118.2900
,Standard_M416ms_v2,416,11400,99.1500,118.2900
