,VM Name,vCPUs,Memory (GiB),Linux Price,Windows Price
,Standard_E4d_v4,4,32,0.2880,0.4720
,Standard_E4d_v5,4,32,0.2880,0.4720
,Standard_E4ds_v4,4,32,0.2880,0.4720
,Standard_E4ds_v5,4,32,0.2880,0.4720
,Standard_EC4ads_v5,4,32,0.2880,0.4720
,Standard_D3_v2,4,14,0.2930,0.5040
,Standard_DS3_v2,4,14,0.2930,0.5040
,Standard_E4bs_v5,4,32,0.2980,0.4820
,Standard_D8plds_v5,8,16,0.3070,0.6750
,Standard_D3,4,14,0.3080,0.5600
,Standard_D8ps_v5,8,32,0.3080,0.6760
,Standard_DS3,4,14,0.3080,0.5600
,Standard_B8ms,8,32,0.3330,0.3650
,Standard_E4bds_v5,4,32,0.3340,0.5180
,Standard_F8s_v2,8,16,0.3380,0.6510
,Standard_D8as_v5,8,32,0.3440,0.7120
,Basic_A4,8,14,0.3520,0.5920
,Standard_D8pds_v5,8,32,0.3620,0.7300
,Standard_D12_v2,4,28,0.3710,0.5280
,Standard_DS12_v2,4,28,0.3710,0.5280
,Standard_DS12-1_v2,1,28,0.3710,0.5280
,Standard_DS12-2_v2,2,28,0.3710,0.5280
,Standard_FX4mds,4,84,0.3720,0.5560
,Standard_DC8as_v5,8,32,0.3780,0.7460
,Standard_D8_v3,8,32,0.3840,0.7520
,Standard_D8_v4,8,32,0.3840,0.7520
,Standard_D8_v5,8,32,0.3840,0.7520
,Standard_D8a_v4,8,32,0.3840,0.7520
,Standard_D8as_v4,8,32,0.3840,0.7520
,Standard_D8s_v3,8,32,0.3840,0.7520
,Standard_D8s_v4,8,32,0.3840,0.7520
,Standard_D8s_v5,8,32,0.3840,0.7520
,Standard_DC4s_v2,4,16,0.3840,0.5680
,Standard_DC4s_v3,4,32,0.3840,0.5680
,Standard_D12,4,28,0.3860,0.5280
,Standard_DS12,4,28,0.3860,0.5280
,Standard_DC4s,4,16,0.3950,0.4870
,Standard_F8,8,16,0.3980,0.7660
,Standard_F8s,8,16,0.3980,0.7660
,Standard_A8_v2,8,16,0.4000,0.6000
,Standard_E8ps_v5,8,64,0.4030,0.7710
,Standard_D8ads_v5,8,32,0.4120,0.7800
,Standard_D8d_v4,8,32,0.4520,0.8200
,Standard_D8d_v5,8,32,0.4520,0.8200
,Standard_D8ds_v5,8,32,0.4520,0.8200
,Standard_DC4ds_v3,4,32,0.4520,0.6360
,Standard_E8-2as_v5,2,64,0.4520,0.8200
,Standard_E8-4as_v5,4,64,0.4520,0.8200
,Standard_E8as_v5,8,64,0.4520,0.8200
,Standard_DC8ads_v5,8,32,0.4530,0.8210
,Standard_NV6ads_A10_v5,6,55,0.4540,0.7300
,Standard_E8pds_v5,8,64,0.4610,0.8290
,Standard_NV8as_v4,8,28,0.4660,0.8340
,Standard_A8m_v2,8,64,0.4750,0.7200
,Standard_A4,8,14,0.4800,0.7200
,Standard_EC8as_v5,8,64,0.4970,0.8650
,Standard_B12ms,12,48,0.4990,0.5470
,Standard_A6,4,28,0.5000,0.6600
,Standard_E8_v3,8,64,0.5040,0.8720
,Standard_E8_v4,8,64,0.5040,0.8720
,Standard_E8_v5,8,64,0.5040,0.8720
,Standard_E8-2as_v4,2,64,0.5040,0.8720
,Standard_E8-2s_v3,2,64,0.5040,0.8720
,Standard_E8-2s_v4,2,64,0.5040,0.8720
,Standard_E8-2s_v5,2,64,0.5040,0.8720
,Standard_E8-4as_v4,4,64,0.5040,0.8720
,Standard_E8-4s_v3,4,64,0.5040,0.8720
,Standard_E8-4s_v4,4,64,0.5040,0.8720
,Standard_E8-4s_v5,4,64,0.5040,0.8720
,Standard_E8a_v4,8,64,0.5040,0.8720
,Standard_E8as_v4,8,64,0.5040,0.8720
,Standard_E8s_v3,8,64,0.5040,0.8720
,Standard_E8s_v4,8,64,0.5040,0.8720
